bid,name,pattern,subPattern,expected,got,delta,deltaAbs
,crazy_tek (DJ Noriken Remix)(e9v3),jack,high chordjack,15,14.93,0.07,0.07
,Rose Quartz(epsilon) x1.3,jack,high chordjack,15,15.09,-0.09,0.09
,Nhelv(e9v3),tech,stream tech,14.8,15.39,-0.59,0.59
,Kimi to bokueno sousouka,speed,Unsigned,14.8,14.96,-0.16,0.16
,Shuu no hazama,tech,stream tech,14.7,14.70,0.00,0.00
,Paradigm Shift(e8v2) x1.15,speed,low stream,14.7,14.92,-0.22,0.22
,Ash Statues(rachel),stamina,dense jumpstream,14.6,15.40,-0.80,0.80
,CRIMSON FIGHTER x1.15,stamina,dense handstream,14.6,14.87,-0.27,0.27
,Amatsukami x1.15,speed,high stream,14.6,15.04,-0.44,0.44
,Lalala.Refrain(sp7v2) x1.1,speed,mid stream,14.6,14.55,0.05,0.05
,Tactical Railroad(ATTang),speed,high stream,14.6,14.25,0.35,0.35
,Hayabusa(e8v3),jack,high chordjack,14.6,14.63,-0.03,0.03
,Search And Destroy(Ena) x1.25,stamina,dense handstream,14.6,14.79,-0.19,0.19
3755310,Death Melody(e8v2) x1.25,stamina,dense handstream,14.5,14.92,-0.42,0.42
,Stay Alive (Zekk Remix) x1.25,speed,mid stream,14.5,14.79,-0.29,0.29
,Paraclete -Miracle,speed,low stream,14.5,14.45,0.05,0.05
,Alpha,tech,stream tech,14.4,13.64,0.76,0.76
,Ankoku Butoukai,tech,mix tech,14.4,13.73,0.67,0.67
,Kaguyahime(mintapril) x1.2,tech,mix tech,14.4,13.86,0.54,0.54
,Heaven's Fall(e7v3) x1.4,stamina,dense handstream,14.4,14.15,0.25,0.25
,Ash Statues(wafles)[Passable],stamina,light jumpstream,14.4,13.46,0.94,0.94
,STRONG 280(11bit),stamina,dense handstream,14.4,14.18,0.22,0.22
,Pine Nut,speed,high stream,14.4,14.25,0.15,0.15
,LiFE Garden(e7v3) x1.05,jack,high chordjack,14.4,14.26,0.14,0.14
,Crescent Moon Boss Battle x1.05,tech,stream tech,14,13.81,0.19,0.19
,FUTURE DOMINATORS(delta) x1.3,stamina,dense handstream,14,13.92,0.08,0.08
,Quadraphinix x1.5,stamina,dense handstream,14,13.85,0.15,0.15
,Volcanic(delta),speed,high stream,14,14.25,-0.25,0.25
,STRONG 280(isxi),jack,dense chordjack,14,14.11,-0.11,0.11
,Aquaris(snover) x1.3,jack,low chordjack,14,13.91,0.09,0.09
,Ascension to heaven(sp6v2) x0.975,speed,Unsigned,13.8,13.79,0.01,0.01
,Nhelv(Guilhermeziat),tech,jack tech,13.6,13.67,-0.07,0.07
,Shadows of Cats(tachyon) x1.2,tech,stream tech,13.6,13.76,-0.16,0.16
,The Empress(delta),stamina,dense handstream,13.6,13.49,0.11,0.11
,Nopea,speed,mid stream,13.6,13.95,-0.35,0.35
,Pastel Subliminal,speed,Unsigned,13.5,14.20,-0.70,0.70
,Extraction,tech,Unsigned,13.4,13.41,-0.01,0.01
,Tornado [Devastation](interliser),tech,mix tech,13.4,12.82,0.58,0.58
,Cyber Inductance(tachyon) x1.4,stamina,dense jumpstream,13.4,13.17,0.23,0.23
3477045,Electric Angel(e5v3) x1.2,speed,high stream,13.4,13.26,0.14,0.14
,Angel Dust(tachyon),speed,high stream,13.4,13.27,0.13,0.13
,Defeat awaken battle ship,jack,high chordjack,13.4,12.70,0.70,0.70
,WE LUV LAMA(gamma) x1.2,stamina,dense jumpstream,13,12.97,0.03,0.03
,Reflec Streamz(gamma),speed,low stream,13,13.36,-0.36,0.36
,Break(loved) x1.1,jack,high chordjack,13,12.72,0.28,0.28
,Sendan Life(OpakyL),jack,dense chordjack,13,12.50,0.50,0.50
,Unsan-musho,tech,stream tech,12.8,12.90,-0.10,0.10
,Sonesaki Shinju(sp5v2) x0.925,speed,Unsigned,12.7,12.74,-0.04,0.04
,Fastest Crash (gamma),tech,stream tech,12.6,12.77,-0.17,0.17
,Shinbatsu o Tadori Kyoukotsu ni Itaru(evening),stamina,dense jumpstream,12.6,12.68,-0.08,0.08
,The Truth Never Spoken,jack,mid chordjack,12.6,12.66,-0.06,0.06
,Bring Our Ignition Back x1.1,jack,mid chordjack,12.6,12.78,-0.18,0.18
,Japanese Transformation(fullerene),stamina,dense jumpstream,12.5,12.47,0.03,0.03
,Crystal World -Fracture-,speed,Unsigned,12.5,13.08,-0.58,0.58
,IMAGE -MATERIAL- Version 0(luminal),stamina,light handstream,12.4,12.09,0.31,0.31
,Lolit Speed,stamina,dense jumpstream,12.4,11.27,1.13,1.13
,Pure Ruby,speed,Unsigned,12.4,12.28,0.12,0.12
,Odin(fullerene),speed,high stream,12.4,12.19,0.21,0.21
,Mario Point[D-Hyper],speed,low stream,12.4,11.88,0.52,0.52
,ZENITHALIZE,jack,high chordjack,12.4,12.78,-0.38,0.38
,IMAGE -MATERIAL- Version 0(fullerene),stamina,light handstream,12.3,11.99,0.31,0.31
,YELL!(e4v2),speed,Unsigned,12.2,12.32,-0.12,0.12
,Asymmetrical Grooves,tech,Unsigned,12,12.74,-0.74,0.74
,Blue Planet,tech,stream tech,12,12.69,-0.69,0.69
,Time to Say Goodbye(beta),stamina,dense jumpstream,12,11.96,0.04,0.04
,Amber Starlight(beta),speed,low stream,12,11.49,0.51,0.51
,Paradigm Shift(beta),jack,high chordjack,12,11.88,0.12,0.12
,Edison(e3v3) x1.15,jack,mid chordjack,12,11.93,0.07,0.07
,Akasha(sp3v2) x0.88,speed,Unsigned,11.7,11.33,0.37,0.37
,End Time(e3v2) x1.1,speed,Unsigned,11.5,11.40,0.10,0.10
,INTERNET OVERDOSE x1.05,tech,stream tech,11.4,11.96,-0.56,0.56
,Euthanasia x1.05,speed,Unsigned,11.2,11.37,-0.17,0.17
,LazorBeamz,stamina,light jumpstream,11,11.44,-0.44,0.44
,Makiba(alpha),speed,low stream,11,11.20,-0.20,0.20
,Dark Sambaland,jack,high chordjack,11,11.50,-0.50,0.50
,Odoru Mizushibuki x1.1,tech,jack tech,10.8,11.22,-0.42,0.42
,Towards the Horizon,tech,Unsigned,10.8,11.27,-0.47,0.47
,P8107 x0.95,speed,low stream,10.8,11.91,-1.11,1.11
,Message(e2v2),speed,low stream,10.7,11.49,-0.79,0.79
,Moment x1.05,jack,high chordjack,10.6,10.82,-0.22,0.22
,Shin Takarajim(sp2v2),speed,Unsigned,10.5,11.24,-0.74,0.74
,Torikago,speed,mid stream,10.4,11.09,-0.69,0.69
,The Lost Dedicated(loved),jack,high chordjack,10.4,11.10,-0.70,0.70
,Eiya no Parade x1.05,speed,low stream,10.3,9.90,0.40,0.40
,Dope Monkeys x1.02,speed,low stream,10.1,9.65,0.45,0.45
,Tailin no Soul x1.2,tech,stream tech,10,9.69,0.31,0.31
,Rave 7 [Hard] x1.1,tech,stream tech,10,10.65,-0.65,0.65
,Chandelier(10),stamina,dense jumpstream,10,10.98,-0.98,0.98
,Oh Curry! x0.9,speed,staircase,10,9.20,0.80,0.80
,The Lost Dedicated(10),jack,high chordjack,10,11.03,-1.03,1.03
,Cicadidae,tech,stream tech,9,9.19,-0.19,0.19
,Firmament Castle Velier(9) x1.05,stamina,dense jumpstream,9,9.91,-0.91,0.91
,Disconnected Trance(9),speed,low stream,9,8.53,0.47,0.47
,Scorpion Dance,jack,high chordjack,9,9.67,-0.67,0.67
,Can't Take my Eyes,jack,low chordjack,9,9.42,-0.42,0.42
,RATO,tech,stream tech,8,8.52,-0.52,0.52
,Anguish(8),stamina,dense jumpstream,8,9.51,-1.51,1.51
,Trickstarz,speed,staircase,8,8.28,-0.28,0.28
,To The Limit(8),jack,high chordjack,8,8.94,-0.94,0.94
,WAVE,tech,mix tech,7,7.24,-0.24,0.24
,Hymn,stamina,light jumpstream,7,7.84,-0.84,0.84
,Last Chance,jack,Unsigned,7,6.54,0.46,0.46
,Five Five Five Guys,speed,low stream,6.6,7.03,-0.43,0.43
,M-A[Expert Lv.15],stamina,dense jumpstream,6.2,8.12,-1.92,1.92
,The Bird's Midair Heatstroke,tech,Unsigned,6,5.50,0.50,0.50
,Luv Lab 22ate!,speed,mid stream,6,6.67,-0.67,0.67
,SOS,speed,mid stream,6,5.90,0.10,0.10
,Sweet Cherry X,jack,Unsigned,6,5.98,0.02,0.02
,Back to the Gate[Lv.5100],stamina,dense jumpstream,6,6.46,-0.46,0.46
,Brainfog,tech,Unsigned,5,4.79,0.21,0.21
,Elektric U-Phoria,stamina,dense jumpstream,5,5.78,-0.78,0.78
,Palette GAMMA[Abstract],speed,low stream,5,5.92,-0.92,0.92
,TDPDG,speed,low stream,5,5.73,-0.73,0.73
,Energy Flower 3007,jack,Unsigned,5,4.57,0.43,0.43
,Angel Of Darkness,stamina,light jumpstream,4.2,4.79,-0.59,0.59
,Ephemera,tech,Unsigned,4,4.02,-0.02,0.02
,Shannon's Theorem,tech,stream tech,4,4.39,-0.39,0.39
,CrossOver,jack,Unsigned,4,3.15,0.85,0.85
,Kirlian Shores,tech,Unsigned,3,2.14,0.86,0.86
,True Blue,stamina,Unsigned,3,2.35,0.65,0.65
,Entelechia,speed,mid stream,3,3.10,-0.10,0.10
,Dimension Trippere!!!!,jack,Unsigned,3,2.48,0.52,0.52
,Vermillion,tech,Unsigned,2,2.30,-0.30,0.30
,Eternal Drain,stamina,Unsigned,2,2.41,-0.41,0.41
,Snow Storm,speed,Unsigned,2,1.78,0.22,0.22
,Flashes,jack,Unsigned,2,2.24,-0.24,0.24
,Want U 2,tech,Unsigned,1,1.12,-0.12,0.12
,Tommorow Perfume,stamina,Unsigned,1,1.89,-0.89,0.89
,Shelter,speed,Unsigned,1,1.64,-0.64,0.64
,Miracle Chance,jack,Unsigned,1,0.86,0.14,0.14
3079544,Night Club Junkie x0.95,speed,low stream,14.6,14.33,0.27,0.27
3079545,Night Club Junkie,speed,low stream,15,14.77,0.23,0.23
3933034,kizuato x1.25,speed,staircase,15.8,15.80,0.00,0.00
3933037,kizuato x1.3,speed,staircase,16.2,16.24,-0.04,0.04
4692665,Everything Black x0.95,speed,high stream,14.8,14.93,-0.13,0.13
4692669,Everything Black,speed,high stream,15.2,15.12,0.08,0.08
1455989,Moon Gate,speed,high stream,13,12.25,0.75,0.75
5111540,angel dust,stamina,light handstream,16.4,16.17,0.23,0.23
5195389,Lolit Speed x1.13,stamina,dense jumpstream,14,13.38,0.62,0.62
1305297,Tornado,tech,jacky tech,13.4,12.82,0.58,0.58
2196118,Kaguyahime x1.2,tech,jacky tech,14.4,13.86,0.54,0.54
1065834,Big Brother,tech,stream tech,10,9.73,0.27,0.27
2877294,STRONG 280,stamina,dense handstream,14.4,14.18,0.22,0.22
716700,slavik goblins,stamina,dense handstream,13.7,13.61,0.09,0.09
1429738,star of andromeda,jack,low chordjack,11,9.96,1.04,1.04
3150955,star of andromeda x1.1,jack,low chordjack,13,11.55,1.45,1.45
3150957,star of andromeda x1.2,jack,low chordjack,14,13.18,0.82,0.82
3150959,star of andromeda x1.3,jack,low chordjack,15,14.19,0.81,0.81
3580775,star of andromeda x1.4,jack,low chordjack,16,15.13,0.87,0.87
2552927,paranoia,jack,low chordjack,10,9.67,0.33,0.33
3260902,The Truth Never Spoken,jack,mid chordjack,12.6,12.66,-0.06,0.06
2308001,Vertex Beta,jack,mid chordjack,15.8,14.16,1.64,1.64
4706643,EVERYTHING BLACK,jack,high chordjack,13.6,13.30,0.30,0.30
3535951,Heaven's Fall x1.3,stamina,dense handstream,13.6,13.03,0.57,0.57
3107371,Rude Buster (Camellia Remix),stamina,dense handstream,14,13.62,0.38,0.38
3107368,Rude Buster (Camellia Remix) x1.1,stamina,dense handstream,15,14.85,0.15,0.15
1937582,Love is War x1.3,stamina,dense handstream,13.6,13.64,-0.04,0.04
2553924,ametsuchi x1.2,jack,low chordjack,8.6,8.36,0.24,0.24
,Oceanus(xfpsb1),ln,hybrid,9.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Otenba Koimusume,ln,density,9.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Gunjou Infinity [Buffed] (Cut),ln,speed,9.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Orca [Broken-],ln,tech,9.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Hanatachi ni Kibouwo 1.15x,ln,hybrid,10.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Akasha 1.05x,ln,density,10.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Ano Yume o Nazotte (Cut) 1.15x,ln,speed,10.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Yoru ni Kakeru (xfpsb2 Cut) 1.05x,ln,tech,10.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,L4.8TS,ln,hybrid,11.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Utakatayo Ikanaide [LN Edit] (Cut) 1.265x,ln,density,11.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,bullet 1.15x,ln,speed,11.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,HAMELN [Fanger] (Cut),ln,tech,11.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Aegleseeker [Galaxy+],ln,hybrid,12.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,finorza (Cut),ln,density,12.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Kokoro no Shitsuryou (Edit),ln,speed,12.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Unmei no Haguruma (Edit),ln,tech,12.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,ReviveR,ln,hybrid,13.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Unleashed World 1.075x,ln,density,13.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Kairikou 1.125x,ln,speed,13.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Identity Part 5 1.05x,ln,tech,13.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Exitium 1.025x,ln,hybrid,14.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Ultrasonic Anthem [Ultimate+] 1.1x,ln,density,14.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Decoy 1.025x,ln,speed,14.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Flamewall (Cut) [Edit] 1.15x,ln,tech,14.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Snow Drive (Cut) 1.225x,ln,hybrid,15.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Kaku mo Yuubi na Hi to Narite (Cut) 1.1x,ln,density,15.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Tojita Sekai (xfpsbF Cut),ln,speed,15.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
,Shuu no Hazama (xfpsbF Cut) 1.15x,ln,tech,15.5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608742,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Doki Doki Literature Club! ~ 2nd ~ (Marathon)],ln,hybrid,2,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608744,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Hitorigoto ~ 1st ~ (Marathon)],ln,hybrid,1,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608739,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [aura ~ 3rd ~ (Marathon)],ln,hybrid,3,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608750,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Otenba Koimusume ~ 4th ~ (Marathon)],ln,hybrid,4,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608751,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Pink Gold ~ 5th ~ (Marathon)],ln,hybrid,5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608745,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Koborezu no Negaigoto ~ 6th ~ (Marathon)],ln,hybrid,6,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608749,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Missing Banquet ~ 8th ~ (Marathon)],ln,hybrid,8,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608752,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Rock It ~ 7th ~ (Marathon)],ln,hybrid,7,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608741,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Dodger's Gadget ~ 9th ~ (Marathon)],ln,hybrid,9,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4614499,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [towa no maigo 1.1x ~ 10th ~ (Marathon)],ln,hybrid,10,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608747,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Kyouki Ranmai ~ Yoru ~ (Marathon)],ln,hybrid,13,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608743,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Enigma 1.1x ~ Yoake ~ (Marathon)],ln,hybrid,11,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608740,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Carnation [ck remix] 1.05x ~ Yuugure ~ (Marathon)],ln,hybrid,12,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608753,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Protoflicker 1.25x ~ Yokaze ~ (Marathon)],ln,hybrid,16,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608748,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Mare Nectaris ~ Yami ~ (Marathon)],ln,hybrid,14,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608746,Various Artists - 4K LN Dan Courses v2 ~ Stage 1 Map Pack ~ [Kodoku no Kakurenbo 1.15x ~ Yume ~ (Marathon)],ln,hybrid,15,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608999,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Dango Daikazoku ~ 1st ~ (Marathon)],ln,release,1,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4614497,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [SPF 420 ~ 2nd ~ (Marathon)],ln,release,2,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609008,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Power To Progress ~ 6th ~ (Marathon)],ln,release,6,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609001,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Gee ~ 4th ~ (Marathon)],ln,release,4,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609011,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [silver temple ~ 3rd ~ (Marathon)],ln,release,3,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609004,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [MilK ~ 5th ~ (Marathon)],ln,release,5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609010,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Shotgun Senorita [Zardonic Remix] ~ 8th ~ (Marathon)],ln,release,8,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609007,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [On the FM ~ 7th ~ (Marathon)],ln,release,7,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609009,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Raijin no Hidariude ~ 9th ~ (Marathon)],ln,release,9,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609000,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Dopamine ~ 10th ~ (Marathon)],ln,release,10,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609006,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [No. 6 ~ Yuugure ~ (Marathon)],ln,tech,12,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4608998,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Avalon no oka ~ Yoake ~ (Marathon)],ln,inverse,11,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609003,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Intersect Thunderbolt -Remix ~ Yoru ~ (Marathon)],ln,tech,13,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609002,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Inaiinai isonshou 1.25x ~ Yume ~ (Marathon)],ln,tech,15,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609005,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Nhelv 1.05x ~ Yami ~ (Marathon)],ln,tech,14,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609012,Various Artists - 4K LN Dan Courses v2 ~ Stage 2 Map Pack ~ [Cinderella Cage -Trancecore Mix- 1.6x ~ Yokaze ~ (Marathon)],ln,tech,16,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609086,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Nerevar Rising ~ 1st ~ (Marathon)],ln,inverse,1,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609080,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Heartbeats ~ 2nd ~ (Marathon)],ln,inverse,2,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609079,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [future gazer ~ 4th ~ (Marathon)],ln,inverse,4,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609081,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [i use raw expectation to unlock placebo. ~ 3rd ~ (Marathon)],ln,inverse,3,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609076,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [ 3 ~ 7th ~ (Marathon)],ln,inverse,7,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609085,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Mousou Express [Remix] ~ 6th ~ (Marathon)],ln,inverse,6,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609087,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Promise ~ 5th ~ (Marathon)],ln,inverse,5,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609088,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Sakase natsuzora koi no hana. ~ 8th ~ (Marathon)],ln,inverse,8,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609077,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [cold planet ~ 9th ~ (Marathon)],ln,inverse,9,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609084,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Love is War ~ Yoake ~ (Marathon)],ln,density,11,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609089,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Sakura Trip 1.15x ~ 10th ~ (Marathon)],ln,inverse,10,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609078,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [ENDYMION ~ Yuugure ~ (Marathon)],ln,density,12,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609083,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Literal Crystal In The Cyphisonia 1.15x ~ Yoru ~],ln,density,13,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609082,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Indomitable Spirit [Hommarju Remix] 1.5x ~ Yami ~ (Marathon)],ln,density,14,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4614495,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [Lancelot -Flame of the Rebellion- 1.35x ~ Yokaze ~ (Marathon)],ln,density,16,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
4609090,Various Artists - 4K LN Dan Courses v2 ~ Stage 3 Map Pack ~ [White Hair Little Swords Girl 1.025x ~ Yume ~ (Marathon)],ln,density,15,Invalid: LN benchmark rows are skipped by Roxy RC scope,,
